path,role,category,profile,format,bytes,width,height,sha256,status
assets/runtime/parties/party_psdb_card_v1--party.avif,runtime,party,party,avif,5132,360,336,5381c60a8ae7952537be17421f902ec1931754c23fb0a518c98a76d3d95d294a,optimized
assets/runtime/parties/party_psdb_card_v1--party.webp,runtime,party,party,webp,8908,360,336,8c150d4c8bc9c6bf949cd691f170d550a6eb3750c24025c50addc07673569d93,optimized
assets/runtime/parties/party_psol_card_v1--party.avif,runtime,party,party,avif,4910,360,336,58e1e679c2888d064cacfbc3068168dc1c1009f61cecc8230503a842bf889c5e,optimized
assets/runtime/parties/party_psol_card_v1--party.webp,runtime,party,party,webp,7724,360,336,d899e2852c494dc19a7eae0273802a120615030a224fb8de68fde4fa22486749,optimized
assets/runtime/parties/party_pt_card_v1--party.avif,runtime,party,party,avif,4104,360,336,42baa07cf3053684b439836e74ddc6d6ce43bf5a92ff9a0ffb95b699f5f91860,optimized
assets/runtime/parties/party_pt_card_v1--party.webp,runtime,party,party,webp,7218,360,336,90a3f2243c10c69972f4c4b8b95ed6080ca562936275a2bf55a8e48242208de9,optimized
assets/runtime/parties/party_pv_card_v1--party.avif,runtime,party,party,avif,3879,360,336,b4ece0ea56537419a2b1fd71b5e75c008d3a8d0ba2c348fe99644fcad24bcbb5,optimized
assets/runtime/parties/party_pv_card_v1--party.webp,runtime,party,party,webp,6430,360,336,c4f60bd6770f9df5af0d45c9237c01ee86628c0540dcc3a25236606b12c37e22,optimized
assets/runtime/parties/party_republicanos_card_v1--party.avif,runtime,party,party,avif,5992,360,336,02aab7b69b518525fa50d0c7412459e74b1797696ad5a565838ba48c49b5adaa,optimized
assets/runtime/parties/party_republicanos_card_v1--party.webp,runtime,party,party,webp,11066,360,336,cf80dc6ae31dc7e45cf8485628e48fa6969e1322e621bc0ac555db181aa90360,optimized
assets/runtime/parties/party_uniao_card_v1--party.avif,runtime,party,party,avif,5906,360,336,7caa992c2d847d149f688e161bd793496f253b8158ad9ad5c3bccec2a419dba8,optimized
assets/runtime/parties/party_uniao_card_v1--party.webp,runtime,party,party,webp,11110,360,336,076063035b73118fa3171d707bb3da4f34b10ff6942ce2b97172487f9625b9d6,optimized
assets/ui/cards/card_diplomacy_v1.png,source,card,,png,1790724,1536,1024,7f0c248bbb14eb1ae935078c8e6baf312a7002549ddf16f1e8a767d608582a2e,source-preserved
assets/ui/cards/card_economy_v1.png,source,card,,png,1616384,1712,919,c8251e6f3a2e0f887441563be7afe4c2062bd4c41b462c2d7bc8499854d3445b,source-preserved
assets/ui/cards/card_government_v1.png,source,card,,png,1890642,1536,1024,5f546b36d00e6c1293d078d7863861f7902998175690ec212028322ab33cff6f,source-preserved
assets/ui/cards/card_intelligence_v1.png,source,card,,png,1916565,1536,1024,c9a8b837613461f7a701c914be27964aab0643b9fd2b308cd365652c384ea846,source-preserved
assets/ui/cards/card_military_v1.png,source,card,,png,1773935,1523,1032,e26bccfb0eb8ee85f95713798569af969a2e7a3df21fec0dec9d067757fc9948,source-preserved
